request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_44,42229.45,affordable_later,wait,2025-03-18:95800.0,2025-03-18,none,"Wait until 2025-03-18 to pay INR 95,800 in full. Current safe amount is INR 42,229.45. Balance will be sufficient after upcoming income clears."
request_45,5228742.8,affordable_later,wait,2026-09-13:21983000.0,2026-09-13,none,"Wait until 2026-09-13 to pay IDR 21,983,000 in full. Current safe amount is IDR 5,228,742.8. Balance will be sufficient after upcoming income clears."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714.0|2024-12-31:25714.0,2024-12-03,none,"Use 2 installments of INR 25714.0, starting 2024-12-03. This leaves at least INR 84,000 available."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,16172335.18,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-17,none,"Use 3 installments of IDR 11902106.67, starting 2024-03-18. This leaves at least IDR 20,275,700 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.0,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,26530.0,affordable_later,wait,2024-06-14:28870.0,2024-06-14,none,"Wait until 2024-06-14 to pay INR 28,870 in full. Current safe amount is INR 26,530. Balance will be sufficient after upcoming income clears."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-14,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100 available."
request_54,6382.81,not_affordable,not_recommended,none,,none,"Cannot safely commit ZAR 121,528 within the 90-day forecast. Maximum safe amount today is ZAR 6,382.81. Consider reducing the request amount or revisiting later."
request_55,148276.01,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124,300 available."
request_56,778.66,affordable_with_plan,partial_payment,2025-02-03:778.66|2025-02-14:102.9,2025-02-14,none,"Pay USD 778.66 today and USD 102.9 on 2025-02-14. This spreads the cost while keeping at least USD 2,100 available."
request_57,15201.76,affordable_later,wait,2026-05-14:61446.0,2026-05-14,none,"Wait until 2026-05-14 to pay ZAR 61,446 in full. Current safe amount is ZAR 15,201.76. Balance will be sufficient after upcoming income clears."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.0,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132,600 available."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400 available over the next 90 days.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,59695.86,affordable_with_plan,partial_payment,2026-07-07:59695.86|2026-07-16:284204.14,2026-07-16,none,"Pay INR 59,695.86 today and INR 284,204.14 on 2026-07-16. This spreads the cost while keeping at least INR 153,500 available."
request_64,0.0,not_affordable,not_recommended,none,,none,"Cannot safely commit INR 63,700 within the 90-day forecast. Maximum safe amount today is INR 0. Consider reducing the request amount or revisiting later."
request_65,8424.76,not_affordable,not_recommended,none,,none,"Cannot safely commit ZAR 54,340 within the 90-day forecast. Maximum safe amount today is ZAR 8,424.76. Consider reducing the request amount or revisiting later."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,589.45,affordable_later,wait,2024-09-15:2094.0,2024-09-15,none,"Wait until 2024-09-15 to pay USD 2,094 in full. Current safe amount is USD 589.45. Balance will be sufficient after upcoming income clears."
request_68,1629.68,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-22,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This leaves at least EUR 700 available over the next 90 days.
request_70,60305.48,affordable_later,wait,2025-02-16:243900.0,2025-02-16,none,"Wait until 2025-02-16 to pay INR 243,900 in full. Current safe amount is INR 60,305.48. Balance will be sufficient after upcoming income clears."
request_71,2219319.65,affordable_later,wait,2025-07-17:21451000.0,2025-07-17,none,"Wait until 2025-07-17 to pay IDR 21,451,000 in full. Current safe amount is IDR 2,219,319.65. Balance will be sufficient after upcoming income clears."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.0,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.0,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39,000 available."
request_76,1210.31,not_affordable,not_recommended,none,2024-06-20,none,"Cannot safely commit USD 4,455.6 within the 90-day forecast. Maximum safe amount today is USD 1,210.31. Consider reducing the request amount or revisiting later."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.0,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.0,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 55,200 available over the next 90 days."
request_79,868.05,affordable_with_plan,partial_payment,2024-09-04:868.05|2024-09-16:1283.55,2024-09-16,none,"Pay EUR 868.05 today and EUR 1,283.55 on 2024-09-16. This spreads the cost while keeping at least EUR 1,000 available."
request_80,125410.0,not_affordable,not_recommended,none,2025-03-10,none,"Cannot safely commit INR 217,500 within the 90-day forecast. Maximum safe amount today is INR 125,410. Consider reducing the request amount or revisiting later."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.0,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,547.2,affordable_later,wait,2024-12-21:1405.2,2024-12-21,none,"Wait until 2024-12-21 to pay USD 1,405.2 in full. Current safe amount is USD 547.2. Balance will be sufficient after upcoming income clears."
request_83,0.0,not_affordable,not_recommended,none,,none,"Cannot safely commit INR 156,200 within the 90-day forecast. Maximum safe amount today is INR 0. Consider reducing the request amount or revisiting later."
request_84,39829.34,affordable_later,wait,2026-04-14:95400.0,2026-04-14,none,"Wait until 2026-04-14 to pay INR 95,400 in full. Current safe amount is INR 39,829.34. Balance will be sufficient after upcoming income clears."
request_85,1261850.5,not_affordable,not_recommended,none,,none,"Cannot safely commit IDR 19,304,000 within the 90-day forecast. Maximum safe amount today is IDR 1,261,850.5. Consider reducing the request amount or revisiting later."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.0,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0.0,not_affordable,not_recommended,none,,none,"Cannot safely commit INR 487,900 within the 90-day forecast. Maximum safe amount today is INR 0. Consider reducing the request amount or revisiting later."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25,800 available."
request_89,10918623.51,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,"Use 3 installments of IDR 4768746.67, starting 2025-11-18. This leaves at least IDR 12,534,700 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,728.87,affordable_later,wait,2024-10-14:1927.2,2024-10-14,none,"Wait until 2024-10-14 to pay EUR 1,927.2 in full. Current safe amount is EUR 728.87. Balance will be sufficient after upcoming income clears."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.0,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.2 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,38195.84,not_affordable,not_recommended,none,,none,"Cannot safely commit INR 553,000 within the 90-day forecast. Maximum safe amount today is INR 38,195.84. Consider reducing the request amount or revisiting later."
request_96,84965.29,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-14,none,"Use 3 installments of INR 31269.33, starting 2026-01-10. This leaves at least INR 56,500 available."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29,700 available."
request_98,12013.48,affordable_later,wait,2025-08-15:27148.0,2025-08-15,none,"Wait until 2025-08-15 to pay ZAR 27,148 in full. Current safe amount is ZAR 12,013.48. Balance will be sufficient after upcoming income clears."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.0,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,29616.75,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,20555.42,not_affordable,not_recommended,none,,none,"Cannot safely commit INR 368,300 within the 90-day forecast. Maximum safe amount today is INR 20,555.42. Consider reducing the request amount or revisiting later."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.0,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.0,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,539.84,affordable_later,wait,2025-01-16:2207.7,2025-01-16,none,"Wait until 2025-01-16 to pay EUR 2,207.7 in full. Current safe amount is EUR 539.84. Balance will be sufficient after upcoming income clears."
request_107,2440.09,not_affordable,not_recommended,none,2025-07-14,none,"Cannot safely commit EUR 2,534.4 within the 90-day forecast. Maximum safe amount today is EUR 2,440.09. Consider reducing the request amount or revisiting later."
request_108,4835.23,affordable_later,wait,2026-08-09:55308.0,2026-08-09,none,"Wait until 2026-08-09 to pay ZAR 55,308 in full. Current safe amount is ZAR 4,835.23. Balance will be sufficient after upcoming income clears."
request_109,907.55,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 today. This leaves at least EUR 500 available over the next 90 days.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500.0,2026-09-04,none,"Pay INR 36,500 today. This leaves at least INR 82,300 available over the next 90 days."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300.0,2026-01-04,none,"Pay INR 65,300 today. This leaves at least INR 113,400 available over the next 90 days."
request_115,16726.05,affordable_later,wait,2024-10-14:80500.0,2024-10-14,none,"Wait until 2024-10-14 to pay INR 80,500 in full. Current safe amount is INR 16,726.05. Balance will be sufficient after upcoming income clears."
request_116,27138.67,not_affordable,not_recommended,none,2025-03-16,none,"Cannot safely commit INR 241,200 within the 90-day forecast. Maximum safe amount today is INR 27,138.67. Consider reducing the request amount or revisiting later."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.0,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,717.82,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-21,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available."
request_119,0.0,not_affordable,not_recommended,none,,none,"Cannot safely commit INR 203,500 within the 90-day forecast. Maximum safe amount today is INR 0. Consider reducing the request amount or revisiting later."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.0,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.0,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1497.09,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1,600 available."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.0,2025-11-06,none,"Pay ZAR 6,468 today. This leaves at least ZAR 11,300 available over the next 90 days."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.0,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,0.0,not_affordable,not_recommended,none,,none,"Cannot safely commit ZAR 23,980 within the 90-day forecast. Maximum safe amount today is ZAR 0. Consider reducing the request amount or revisiting later."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.0,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,158.36,not_affordable,not_recommended,none,2026-06-13,none,"Cannot safely commit USD 2,668.8 within the 90-day forecast. Maximum safe amount today is USD 158.36. Consider reducing the request amount or revisiting later."
request_130,592.4,affordable_later,wait,2025-01-17:1978.8,2025-01-17,none,"Wait until 2025-01-17 to pay USD 1,978.8 in full. Current safe amount is USD 592.4. Balance will be sufficient after upcoming income clears."
request_131,1325.46,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-24,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This leaves at least USD 1,100 available over the next 90 days."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Cannot safely commit IDR 15,770,000 within the 90-day forecast. Maximum safe amount today is IDR 15,770,000. Consider reducing the request amount or revisiting later."
request_134,7343943.67,affordable_later,wait,2025-08-14:21831000.0,2025-08-14,none,"Wait until 2025-08-14 to pay IDR 21,831,000 in full. Current safe amount is IDR 7,343,943.67. Balance will be sufficient after upcoming income clears."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,"Pay USD 560.4 today. This leaves at least USD 1,100 available over the next 90 days."
request_137,37112.02,affordable_later,wait,2025-11-14:80100.0,2025-11-14,none,"Wait until 2025-11-14 to pay INR 80,100 in full. Current safe amount is INR 37,112.02. Balance will be sufficient after upcoming income clears."
request_138,1117.9,affordable_with_plan,partial_payment,2026-04-07:1117.9|2026-04-14:139.04,2026-04-14,none,"Pay EUR 1,117.9 today and EUR 139.04 on 2026-04-14. This spreads the cost while keeping at least EUR 2,300 available."
request_139,2015.43,not_affordable,not_recommended,none,2024-09-15,none,"Cannot safely commit USD 2,316 within the 90-day forecast. Maximum safe amount today is USD 2,015.43. Consider reducing the request amount or revisiting later."
request_140,4591.4,not_affordable,not_recommended,none,,none,"Cannot safely commit ZAR 62,832 within the 90-day forecast. Maximum safe amount today is ZAR 4,591.4. Consider reducing the request amount or revisiting later."
request_141,33759.82,not_affordable,not_recommended,none,2026-03-15,none,"Cannot safely commit INR 171,600 within the 90-day forecast. Maximum safe amount today is INR 33,759.82. Consider reducing the request amount or revisiting later."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.6 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,4281.54,affordable_later,wait,2025-05-17:12584.0,2025-05-17,none,"Wait until 2025-05-17 to pay ZAR 12,584 in full. Current safe amount is ZAR 4,281.54. Balance will be sufficient after upcoming income clears."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,51372.72,not_affordable,not_recommended,none,2024-04-22,none,"Cannot safely commit INR 217,400 within the 90-day forecast. Maximum safe amount today is INR 51,372.72. Consider reducing the request amount or revisiting later."
request_146,25072.28,affordable_later,wait,2025-10-14:449400.0,2025-10-14,none,"Wait until 2025-10-14 to pay INR 449,400 in full. Current safe amount is INR 25,072.28. Balance will be sufficient after upcoming income clears."
request_147,0.0,not_affordable,not_recommended,none,,none,"Cannot safely commit EUR 1,129.7 within the 90-day forecast. Maximum safe amount today is EUR 0. Consider reducing the request amount or revisiting later."
request_148,10425.12,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-14,none,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This leaves at least ZAR 20,000 available."
request_149,28227.37,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This leaves at least ZAR 42,100 available."
request_150,377.38,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.0,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,13185.27,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-14,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This leaves at least ZAR 11,900 available."
request_153,270.37,not_affordable,not_recommended,none,,none,"Cannot safely commit USD 2,830.8 within the 90-day forecast. Maximum safe amount today is USD 270.37. Consider reducing the request amount or revisiting later."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1,300 available."
request_155,97475.37,affordable_later,wait,2025-06-14:112500.0,2025-06-14,none,"Wait until 2025-06-14 to pay INR 112,500 in full. Current safe amount is INR 97,475.37. Balance will be sufficient after upcoming income clears."
request_156,10834.45,affordable_later,wait,2026-05-14:43076.0,2026-05-14,none,"Wait until 2026-05-14 to pay ZAR 43,076 in full. Current safe amount is ZAR 10,834.45. Balance will be sufficient after upcoming income clears."
request_157,7113037.89,affordable_later,wait,2024-04-17:23503000.0,2024-04-17,none,"Wait until 2024-04-17 to pay IDR 23,503,000 in full. Current safe amount is IDR 7,113,037.89. Balance will be sufficient after upcoming income clears."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 131,400 available."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.0,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-14,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200 available."
request_161,7506322.75,affordable_later,wait,2026-01-13:21204000.0,2026-01-13,none,"Wait until 2026-01-13 to pay IDR 21,204,000 in full. Current safe amount is IDR 7,506,322.75. Balance will be sufficient after upcoming income clears."
request_162,4486081.51,not_affordable,not_recommended,none,,none,"Cannot safely commit IDR 83,923,000 within the 90-day forecast. Maximum safe amount today is IDR 4,486,081.51. Consider reducing the request amount or revisiting later."
request_163,13212438.59,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-19,none,"Use 3 installments of IDR 6692053.33, starting 2024-09-10. This leaves at least IDR 26,728,700 available."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240.0|2025-03-11:9366240.0|2025-04-08:9366240.0,2025-02-04,none,"Use 3 installments of IDR 9366240.0, starting 2025-02-11. This leaves at least IDR 29,550,500 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.0,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.0,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,43984.84,affordable_with_plan,partial_payment,2026-01-07:43984.84|2026-01-14:5395.16,2026-01-14,none,"Pay INR 43,984.84 today and INR 5,395.16 on 2026-01-14. This spreads the cost while keeping at least INR 114,400 available."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.0,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,34422077.09,affordable_with_plan,installments,2025-08-06:12804480.0|2025-09-03:12804480.0|2025-10-01:12804480.0,2025-08-14,none,"Use 3 installments of IDR 12804480.0, starting 2025-08-06. This leaves at least IDR 24,715,800 available."
request_171,114.07,not_affordable,not_recommended,none,,none,"Cannot safely commit EUR 1,878.8 within the 90-day forecast. Maximum safe amount today is EUR 114.07. Consider reducing the request amount or revisiting later."
